geo,predictor,processing,model,max_lag,set,intercept,correlation,R2,MAPE
MX,dengue,raw,ar,1,train,2603.293509631248,0.9625302445570303,0.9251576147135077,23.507429425104483
MX,dengue,raw,ar,1,test,NA,0.9785833588328858,0.9571633797803689,34.874757334876776
MX,dengue,raw,arx,1,train,2006.7974574711486,0.9629447512205692,0.9272177193096054,25.28538458830294
MX,dengue,raw,arx,1,test,NA,0.9812498707823822,0.9625720611209785,34.77708790473098
MX,dengue,raw,ar,2,train,2061.43488285019,0.9627638443860705,0.9268372517970214,24.979015021264086
MX,dengue,raw,ar,2,test,NA,0.9765377144021649,0.9533850145602109,37.43268925243094
MX,dengue,raw,arx,2,train,1670.8000046131742,0.9638110167335379,0.9289019408330228,26.19650441470867
MX,dengue,raw,arx,2,test,NA,0.9820415062242979,0.9643443311386701,36.987171796250834
MX,dengue,raw,ar,3,train,2293.4864878885724,0.9649564105895372,0.9310940980192165,22.739948344862267
MX,dengue,raw,ar,3,test,NA,0.9815134359092968,0.9630816563982944,33.2950427587747
MX,dengue,raw,arx,3,train,1964.873134252445,0.9680375570561299,0.9370409091993576,23.180089137944908
MX,dengue,raw,arx,3,test,NA,0.983906211105874,0.9680045911379007,34.16583017509882
MX,mosquito,raw,ar,1,train,2603.293509631248,0.9625302445570303,0.9251576147135077,23.507429425104483
MX,mosquito,raw,ar,1,test,NA,0.9785833588328858,0.9571633797803689,34.874757334876776
MX,mosquito,raw,arx,1,train,2213.455432446564,0.9624319203816071,0.9262228107108881,24.65831559417111
MX,mosquito,raw,arx,1,test,NA,0.9785661493055403,0.9572195410818234,35.864118386032686
MX,mosquito,raw,ar,2,train,2061.43488285019,0.9627638443860705,0.9268372517970214,24.979015021264086
MX,mosquito,raw,ar,2,test,NA,0.9765377144021649,0.9533850145602109,37.43268925243094
MX,mosquito,raw,arx,2,train,1632.507426170223,0.9639690302596676,0.9291566193978402,25.701231195381336
MX,mosquito,raw,arx,2,test,NA,0.9766711457679718,0.9535119421781433,38.509851049835284
MX,mosquito,raw,ar,3,train,2293.4864878885724,0.9649564105895372,0.9310940980192165,22.739948344862267
MX,mosquito,raw,ar,3,test,NA,0.9815134359092968,0.9630816563982944,33.2950427587747
MX,mosquito,raw,arx,3,train,1924.2802030181504,0.9678594635947302,0.9366759498896505,23.36121396547591
MX,mosquito,raw,arx,3,test,NA,0.9813261849730978,0.9625758183528214,34.077074072543326
MX,sintomas_de_dengue,raw,ar,1,train,2603.293509631248,0.9625302445570303,0.9251576147135077,23.507429425104483
MX,sintomas_de_dengue,raw,ar,1,test,NA,0.9785833588328858,0.9571633797803689,34.874757334876776
MX,sintomas_de_dengue,raw,arx,1,train,2225.714784754473,0.9624227750997585,0.9261999826028702,24.400570632281653
MX,sintomas_de_dengue,raw,arx,1,test,NA,0.9787547235118093,0.9576043811472682,35.32435046343386
MX,sintomas_de_dengue,raw,ar,2,train,2061.43488285019,0.9627638443860705,0.9268372517970214,24.979015021264086
MX,sintomas_de_dengue,raw,ar,2,test,NA,0.9765377144021649,0.9533850145602109,37.43268925243094
MX,sintomas_de_dengue,raw,arx,2,train,2016.7089503286961,0.9628565983044881,0.9270426271721691,25.023043561471773
MX,sintomas_de_dengue,raw,arx,2,test,NA,0.9776314169449158,0.9556058006191946,38.20860489519203
MX,sintomas_de_dengue,raw,ar,3,train,2293.4864878885724,0.9649564105895372,0.9310940980192165,22.739948344862267
MX,sintomas_de_dengue,raw,ar,3,test,NA,0.9815134359092968,0.9630816563982944,33.2950427587747
MX,sintomas_de_dengue,raw,arx,3,train,2116.138224444896,0.9672537740453582,0.9355154463784272,21.622310022268667
MX,sintomas_de_dengue,raw,arx,3,test,NA,0.9821627844506253,0.9645247793324698,36.578896775378574
MX,dengue,processed,ar,1,train,2603.293509631248,0.9625302445570303,0.9251576147135077,23.507429425104483
MX,dengue,processed,ar,1,test,NA,0.9785833588328858,0.9571633797803689,34.874757334876776
MX,dengue,processed,arx,1,train,2521.05184365769,0.96416660628087,0.9294765328731114,21.164627926390047
MX,dengue,processed,arx,1,test,NA,0.9857552023619837,0.9706855091401435,26.952672223748884
MX,dengue,processed,ar,2,train,2061.43488285019,0.9627638443860705,0.9268372517970214,24.979015021264086
MX,dengue,processed,ar,2,test,NA,0.9765377144021649,0.9533850145602109,37.43268925243094
MX,dengue,processed,arx,2,train,2485.650395832249,0.9653401934620981,0.9316733906245362,22.87169982075053
MX,dengue,processed,arx,2,test,NA,0.9858123584363778,0.9702604755844181,29.161475018343552
MX,dengue,processed,ar,3,train,2293.4864878885724,0.9649564105895372,0.9310940980192165,22.739948344862267
MX,dengue,processed,ar,3,test,NA,0.9815134359092968,0.9630816563982944,33.2950427587747
MX,dengue,processed,arx,3,train,2565.4765941978417,0.9684549017522753,0.9376841412087369,22.907731175046923
MX,dengue,processed,arx,3,test,NA,0.9847934849599153,0.9682076705925584,28.219606520398216
MX,mosquito,processed,ar,1,train,2603.293509631248,0.9625302445570303,0.9251576147135077,23.507429425104483
MX,mosquito,processed,ar,1,test,NA,0.9785833588328858,0.9571633797803689,34.874757334876776
MX,mosquito,processed,arx,1,train,2250.014506599683,0.962364767776528,0.9260970113812305,24.42549763218917
MX,mosquito,processed,arx,1,test,NA,0.9786819427831458,0.9574596597056279,35.13831045355651
MX,mosquito,processed,ar,2,train,2061.43488285019,0.9627638443860705,0.9268372517970214,24.979015021264086
MX,mosquito,processed,ar,2,test,NA,0.9765377144021649,0.9533850145602109,37.43268925243094
MX,mosquito,processed,arx,2,train,2226.3044687443194,0.9636724859915696,0.9285988022340055,25.33609683681291
MX,mosquito,processed,arx,2,test,NA,0.9766738945155427,0.9536061722828342,38.705848704709695
MX,mosquito,processed,ar,3,train,2293.4864878885724,0.9649564105895372,0.9310940980192165,22.739948344862267
MX,mosquito,processed,ar,3,test,NA,0.9815134359092968,0.9630816563982944,33.2950427587747
MX,mosquito,processed,arx,3,train,2515.9330480895637,0.968110344060421,0.9371820394509572,22.77467935647426
MX,mosquito,processed,arx,3,test,NA,0.9817464654460608,0.9634960725480664,33.97486608793055
MX,sintomas_de_dengue,processed,ar,1,train,2603.293509631248,0.9625302445570303,0.9251576147135077,23.507429425104483
MX,sintomas_de_dengue,processed,ar,1,test,NA,0.9785833588328858,0.9571633797803689,34.874757334876776
MX,sintomas_de_dengue,processed,arx,1,train,2287.584904161496,0.9623824715341743,0.9261393625435403,24.97504292499523
MX,sintomas_de_dengue,processed,arx,1,test,NA,0.9781913231007315,0.9565425708407992,36.42401065300201
MX,sintomas_de_dengue,processed,ar,2,train,2061.43488285019,0.9627638443860705,0.9268372517970214,24.979015021264086
MX,sintomas_de_dengue,processed,ar,2,test,NA,0.9765377144021649,0.9533850145602109,37.43268925243094
MX,sintomas_de_dengue,processed,arx,2,train,2208.448767840308,0.9635510977932129,0.9283701877727417,25.984421398912417
MX,sintomas_de_dengue,processed,arx,2,test,NA,0.9770685935451611,0.9543575814580729,40.89695340269865
MX,sintomas_de_dengue,processed,ar,3,train,2293.4864878885724,0.9649564105895372,0.9310940980192165,22.739948344862267
MX,sintomas_de_dengue,processed,ar,3,test,NA,0.9815134359092968,0.9630816563982944,33.2950427587747
MX,sintomas_de_dengue,processed,arx,3,train,2530.900324429372,0.9673148735570765,0.9356422574100013,22.56661404039914
MX,sintomas_de_dengue,processed,arx,3,test,NA,0.9822200973284171,0.9643419764627204,37.103716585229186
